"Method","Path","Tags","OperationId","Summary"
"GET","/api/explore/groups/{group_slug}/recipes/{recipe_slug}","Explore: Recipes","get_recipe_api_explore_groups__group_slug__recipes__recipe_slug__get","Get Recipe"
"GET","/api/explore/groups/{group_slug}/recipes/suggestions","Explore: Recipes","suggest_recipes_api_explore_groups__group_slug__recipes_suggestions_get","Suggest Recipes"
"GET","/api/foods","Recipes: Foods","get_all_api_foods_get","Get All"
"POST","/api/foods","Recipes: Foods","create_one_api_foods_post","Create One"
"DELETE","/api/foods/{item_id}","Recipes: Foods","delete_one_api_foods__item_id__delete","Delete One"
"GET","/api/foods/{item_id}","Recipes: Foods","get_one_api_foods__item_id__get","Get One"
"PUT","/api/foods/{item_id}","Recipes: Foods","update_one_api_foods__item_id__put","Update One"
"PUT","/api/foods/merge","Recipes: Foods","merge_one_api_foods_merge_put","Merge One"
"GET","/api/groups/households","Groups: Households","get_all_households_api_groups_households_get","Get All Households"
"GET","/api/groups/households/{household_slug}","Groups: Households","get_one_household_api_groups_households__household_slug__get","Get One Household"
"GET","/api/groups/labels","Groups: Multi Purpose Labels","get_all_api_groups_labels_get","Get All"
"POST","/api/groups/labels","Groups: Multi Purpose Labels","create_one_api_groups_labels_post","Create One"
"DELETE","/api/groups/labels/{item_id}","Groups: Multi Purpose Labels","delete_one_api_groups_labels__item_id__delete","Delete One"
"GET","/api/groups/labels/{item_id}","Groups: Multi Purpose Labels","get_one_api_groups_labels__item_id__get","Get One"
"PUT","/api/groups/labels/{item_id}","Groups: Multi Purpose Labels","update_one_api_groups_labels__item_id__put","Update One"
"GET","/api/groups/members","Groups: Self Service","get_group_members_api_groups_members_get","Get Group Members"
"GET","/api/groups/members/{username_or_id}","Groups: Self Service","get_group_member_api_groups_members__username_or_id__get","Get Group Member"
"POST","/api/groups/migrations","Groups: Migrations","start_data_migration_api_groups_migrations_post","Start Data Migration"
"GET","/api/groups/preferences","Groups: Self Service","get_group_preferences_api_groups_preferences_get","Get Group Preferences"
"PUT","/api/groups/preferences","Groups: Self Service","update_group_preferences_api_groups_preferences_put","Update Group Preferences"
"GET","/api/groups/reports","Groups: Reports","get_all_api_groups_reports_get","Get All"
"DELETE","/api/groups/reports/{item_id}","Groups: Reports","delete_one_api_groups_reports__item_id__delete","Delete One"
"GET","/api/groups/reports/{item_id}","Groups: Reports","get_one_api_groups_reports__item_id__get","Get One"
"POST","/api/groups/seeders/foods","Groups: Seeders","seed_foods_api_groups_seeders_foods_post","Seed Foods"
"POST","/api/groups/seeders/labels","Groups: Seeders","seed_labels_api_groups_seeders_labels_post","Seed Labels"
"POST","/api/groups/seeders/units","Groups: Seeders","seed_units_api_groups_seeders_units_post","Seed Units"
"GET","/api/groups/self","Groups: Self Service","get_logged_in_user_group_api_groups_self_get","Get Logged In User Group"
"GET","/api/groups/storage","Groups: Self Service","get_storage_api_groups_storage_get","Get Storage"
"GET","/api/households/cookbooks","Households: Cookbooks","get_all_api_households_cookbooks_get","Get All"
"POST","/api/households/cookbooks","Households: Cookbooks","create_one_api_households_cookbooks_post","Create One"
"PUT","/api/households/cookbooks","Households: Cookbooks","update_many_api_households_cookbooks_put","Update Many"
"DELETE","/api/households/cookbooks/{item_id}","Households: Cookbooks","delete_one_api_households_cookbooks__item_id__delete","Delete One"
"GET","/api/households/cookbooks/{item_id}","Households: Cookbooks","get_one_api_households_cookbooks__item_id__get","Get One"
"PUT","/api/households/cookbooks/{item_id}","Households: Cookbooks","update_one_api_households_cookbooks__item_id__put","Update One"
"GET","/api/households/events/notifications","Households: Event Notifications","get_all_api_households_events_notifications_get","Get All"
"POST","/api/households/events/notifications","Households: Event Notifications","create_one_api_households_events_notifications_post","Create One"
"DELETE","/api/households/events/notifications/{item_id}","Households: Event Notifications","delete_one_api_households_events_notifications__item_id__delete","Delete One"
